"index","name_occup_de","Berufsabteilungen","Berufsklassen","Berufsgruppen","Berufsarten","name_occup_fr","name_occup_it","name_occup_en"
"233","Lehrkräfte im Sekundarbereich",NA,NA,"233",NA,"Professeurs, enseignement secondaire","Professori di scuola secondaria","Secondary education teachers"
"2330","Lehrkräfte im Sekundarbereich",NA,NA,NA,"2330","Professeurs, enseignement secondaire","Professori di scuola secondaria","Secondary education teachers"
"234","Lehrkräfte im Primar- und Vorschulbereich",NA,NA,"234",NA,"Instituteurs, enseignement primaire et éducateurs de la petite enfance","Professori di scuola primaria e pre-primaria","Primary school and early childhood teachers"
"2340","Lehrkräfte im Primar- und Vorschulbereich, onA",NA,NA,NA,"2340","Instituteurs, enseignement primaire et éducateurs de la petite enfance, sip","Professori di scuola primaria e pre-primaria, s.a.i.","Primary school and early childhood teachers, nos"
"2341","Lehrkräfte im Primarbereich",NA,NA,NA,"2341","Instituteurs, enseignement primaire","Professori di scuola primaria","Primary school teachers"
"2342","Lehrkräfte und Erzieher im Vorschulbereich",NA,NA,NA,"2342","Éducateurs de la petite enfance","Professori di scuola pre-primaria","Early childhood educators"
"235","Sonstige Lehrkräfte",NA,NA,"235",NA,"Autres spécialistes de l’enseignement","Altri specialisti dell'educazione","Other teaching professionals"
"2350","Sonstige Lehrkräfte, onA",NA,NA,NA,"2350","Autres spécialistes de l’enseignement, sip","Altri specialisti dell'educazione, s.a.i.","Other teaching professionals, nos"
"2351","Pädagogik- und Didaktikspezialisten",NA,NA,NA,"2351","Spécialistes des méthodes d’enseignement","Specialisti dei metodi di insegnamento","Education methods specialists"
"2352","Lehrkräfte im Bereich Sonderpädagogik",NA,NA,NA,"2352","Enseignants, éducation spécialisée","Professori per l'insegnamento ad alunni con esigenze speciali","Special needs teachers"
"2353","Sonstige Sprachlehrer",NA,NA,NA,"2353","Autres professeurs de langues","Altri professori di lingue","Other language teachers"
"2354","Sonstige Musiklehrer",NA,NA,NA,"2354","Autres professeurs de musique","Altri professori di educazione musicale","Other music teachers"
"2355","Sonstige Kunstlehrer",NA,NA,NA,"2355","Autres professeurs de disciplines artistiques","Altri professori di educazione artistica","Other arts teachers"
"2356","Ausbilder im Bereich Informationstechnologie",NA,NA,NA,"2356","Formateurs en technologies de l’information","Formatori in tecnologie dell'informazione","Information technology trainers"
"2359","Lehrkräfte, anderweitig nicht genannt",NA,NA,NA,"2359","Spécialistes de l’enseignement, non classés ailleurs","Specialisti dell'educazione non classificati altrove","Teaching professionals not elsewhere classified"
"24","Betriebswirte und vergleichbare akademische Berufe",NA,"24",NA,NA,"Spécialistes en administration d’entreprises","Specialisti delle scienze commerciali e dell'amministrazione","Business and administration professionals"
"240","Betriebswirte und vergleichbare akademische Berufe, onA",NA,NA,"240",NA,"Spécialistes en administration d’entreprises, sip","Specialisti delle scienze commerciali e dell'amministrazione, s.a.i.","Business and administration professionals, nos"
"2400","Betriebswirte und vergleichbare akademische Berufe, onA",NA,NA,NA,"2400","Spécialistes en administration d’entreprises, sip","Specialisti delle scienze commerciali e dell'amministrazione, s.a.i.","Business and administration professionals, nos"
"241","Akademische und vergleichbare Fachkräfte im Bereich Finanzen",NA,NA,"241",NA,"Spécialistes en finances","Specialisti finanziari","Finance professionals"
"2410","Akademische und vergleichbare Fachkräfte im Bereich Finanzen, onA",NA,NA,NA,"2410","Spécialistes en finances, sip","Specialisti finanziari, s.a.i.","Finance professionals, nos"
"2411","Wirtschaftsprüfer, Steuerberater und verwandte Berufe",NA,NA,NA,"2411","Cadres comptables","Contabili","Accountants"
"2412","Finanz- und Anlageberater",NA,NA,NA,"2412","Conseillers en finances et investissements","Consulenti finanziari e per gli investimenti","Financial and investment advisers"
"2413","Finanzanalysten",NA,NA,NA,"2413","Analystes financiers","Analisti finanziari","Financial analysts"
"242","Akademische und vergleichbare Fachkräfte in der betrieblichen Verwaltung",NA,NA,"242",NA,"Spécialistes des fonctions administratives","Specialisti dell'amministrazione","Administration professionals"
"2420","Akademische und vergleichbare Fachkräfte in der betrieblichen Verwaltung, onA",NA,NA,NA,"2420","Spécialistes des fonctions administratives, sip","Specialisti dell'amministrazione, s.a.i.","Administration professionals, nos"
"2421","Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse",NA,NA,NA,"2421","Analystes, gestion et organisation","Analisti della gestione e organizzazione","Management and organisation analysts"
"2422","Akademische und vergleichbare Fachkräfte in der strategischen Planung in Politik und Wirtschaft",NA,NA,NA,"2422","Spécialistes, administration et politiques","Specialisti delle politiche di amministrazione","Policy administration professionals"
"2423","Berufsberater und -analytiker und akademische und vergleichbare Personalfachleute",NA,NA,NA,"2423","Spécialistes, ressources humaines et évolution de carrière","Specialisti di personale e sviluppo di carriera","Personnel and careers professionals"
"2424","Fachkräfte in Personalschulung und -entwicklung",NA,NA,NA,"2424","Spécialistes de la formation du personnel","Specialisti della formazione e dello sviluppo delle risorse umane","Training and staff development professionals"
"243","Akademische und vergleichbare Fachkräfte in Vertrieb, Marketing und Öffentlichkeitsarbeit",NA,NA,"243",NA,"Spécialistes des ventes, de la commercialisation et des relations publiques","Specialisti delle vendite, del marketing e delle pubbliche relazioni","Sales, marketing and public relations professionals"
"2430","Akademische und vergleichbare Fachkräfte in Vertrieb, Marketing und Öffentlichkeitsarbeit, onA",NA,NA,NA,"2430","Spécialistes des ventes, de la commercialisation et des relations publiques, sip","Specialisti delle vendite, del marketing e delle pubbliche relazioni, s.a.i.","Sales, marketing and public relations professionals, nos"
"2431","Akademische und vergleichbare Fachkräfte in Werbung und Marketing",NA,NA,NA,"2431","Spécialistes de la publicité et de la commercialisation","Specialisti della pubblicità e del marketing","Advertising and marketing professionals"
"2432","Akademische und vergleichbare Fachkräfte in der Öffentlichkeitsarbeit",NA,NA,NA,"2432","Spécialistes des relations publiques","Specialisti delle pubbliche relazioni","Public relations professionals"
"2433","Akademische und vergleichbare Fachkräfte im Bereich Vertrieb (Technik und Medizin, ohne Informations- und Kommunikationstechnologie)",NA,NA,NA,"2433","Spécialistes des ventes, secteurs médical et technique (à l’exception des TIC)","Informatori tecnici e scientifici (ad eccezione del settore ICT)","Technical and medical sales professionals (excluding ICT)"
"2434","Akademische und vergleichbare Fachkräfte im Vertrieb von Informations- und Kommunikationstechnologie",NA,NA,NA,"2434","Spécialistes des ventes, technologies de l’information et des communications","Specialisti delle vendite nel settore delle tecnologie dell'informazione e della comunicazione","Information and communications technology sales professionals"
"25","Akademische und vergleichbare Fachkräfte in der Informations- und Kommunikationstechnologie",NA,"25",NA,NA,"Spécialistes des technologies de l’information et des communications","Specialisti delle tecnologie dell'informazione e della comunicazione","Information and communications technology professionals"
"250","Akademische und vergleichbare Fachkräfte in der Informations- und Kommunikationstechnologie, onA",NA,NA,"250",NA,"Spécialistes des technologies de l’information et des communications, sip","Specialisti delle tecnologie dell'informazione e della comunicazione, s.a.i.","Information and communications technology professionals, nos"
"2500","Akademische und vergleichbare Fachkräfte in der Informations- und Kommunikationstechnologie, onA",NA,NA,NA,"2500","Spécialistes des technologies de l’information et des communications, sip","Specialisti delle tecnologie dell'informazione e della comunicazione, s.a.i.","Information and communications technology professionals, nos"
"251","Entwickler und Analytiker von Software und Anwendungen",NA,NA,"251",NA,"Concepteurs et analystes de logiciels et de multimédia","Sviluppatori e analisti di software e applicazioni","Software and applications developers and analysts"
"2510","Entwickler und Analytiker von Software und Anwendungen, onA",NA,NA,NA,"2510","Concepteurs et analystes de logiciels et de multimédia, sip","Sviluppatori e analisti di software e applicazioni, s.a.i.","Software and applications developers and analysts, nos"
"2511","Systemanalytiker",NA,NA,NA,"2511","Analystes de systèmes","Analisti di sistema","Systems analysts"
"2512","Softwareentwickler",NA,NA,NA,"2512","Concepteurs de logiciels","Sviluppatori di software","Software developers"
"2513","Web- und Multimediaentwickler",NA,NA,NA,"2513","Concepteurs de sites internet et de multimédia","Sviluppatori Web e multimediali","Web and multimedia developers"
"2514","Anwendungsprogrammierer",NA,NA,NA,"2514","Programmeurs d’applications","Programmatori di applicazioni","Applications programmers"
"2519","Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt",NA,NA,NA,"2519","Concepteurs et analystes de logiciels, et concepteurs de multimédia non classés ailleurs","Sviluppatori e analisti di software e applicazioni non classificati altrove","Software and applications developers and analysts not elsewhere classified"
"252","Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke",NA,NA,"252",NA,"Spécialistes des bases de données et des réseaux d’ordinateurs","Specialisti in basi dati e in reti informatiche","Database and network professionals"
"2520","Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke, onA",NA,NA,NA,"2520","Spécialistes des bases de données et des réseaux d’ordinateurs, sip","Specialisti in basi dati e in reti informatiche, s.a.i.","Database and network professionals, nos"
"2521","Datenbankentwickler und -administratoren",NA,NA,NA,"2521","Spécialistes des bases de données","Specialisti nella progettazione e amministrazione delle basi dati","Database designers and administrators"
"2522","Systemadministratoren",NA,NA,NA,"2522","Administrateurs de systèmes","Amministratori di sistema","Systems administrators"
"2523","Akademische und vergleichbare Fachkräfte für Computernetzwerke",NA,NA,NA,"2523","Spécialistes des réseaux d’ordinateurs","Specialisti in reti informatiche","Computer network professionals"
"2529","Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt",NA,NA,NA,"2529","Spécialistes des bases de données et des réseaux d’ordinateurs non classés ailleurs","Specialisti in basi dati e in reti informatiche non classificati altrove","Database and network professionals not elsewhere classified"
"26","Juristen, Sozialwissenschaftler und Kulturberufe",NA,"26",NA,NA,"Spécialistes de la justice, des sciences sociales et de la culture","Specialisti in scienze giuridiche, sociali e culturali","Legal, social and cultural professionals"
"260","Juristen, Sozialwissenschaftler und Kulturberufe, onA",NA,NA,"260",NA,"Spécialistes de la justice, des sciences sociales et de la culture, sip","Specialisti in scienze giuridiche, sociali e culturali, s.a.i.","Legal, social and cultural professionals, nos"
"2600","Juristen, Sozialwissenschaftler und Kulturberufe, onA",NA,NA,NA,"2600","Spécialistes de la justice, des sciences sociales et de la culture, sip","Specialisti in scienze giuridiche, sociali e culturali, s.a.i.","Legal, social and cultural professionals, nos"
"261","Juristen",NA,NA,"261",NA,"Juristes","Specialisti in scienze giuridiche","Legal professionals"
"2610","Juristen, onA",NA,NA,NA,"2610","Juristes, sip","Specialisti in scienze giuridiche, s.a.i.","Legal professionals, nos"
"2611","Anwälte",NA,NA,NA,"2611","Avocats","Avvocati","Lawyers"
"2612","Richter",NA,NA,NA,"2612","Magistrats","Magistrati","Judges"
"2619","Juristen, anderweitig nicht genannt",NA,NA,NA,"2619","Juristes non classés ailleurs","Specialisti in scienze giuridiche non classificati altrove","Legal professionals not elsewhere classified"
"262","Archiv-, Bibliotheks- und Museumswissenschaftler",NA,NA,"262",NA,"Archivistes, bibliothécaires, documentalistes et assimilés","Bibliotecari, archivisti e curatori di musei","Librarians, archivists and curators"
"2620","Archiv-, Bibliotheks- und Museumswissenschaftler, onA",NA,NA,NA,"2620","Archivistes, bibliothécaires, documentalistes et assimilés, sip","Bibliotecari, archivisti e curatori di musei, s.a.i.","Librarians, archivists and curators, nos"
"2621","Archiv- und Museumswissenschaftler",NA,NA,NA,"2621","Archivistes paléographes et conservateurs de musée","Archivisti e curatori di musei","Archivists and curators"
"2622","Bibliothekswissenschaftler und verwandte Informationswissenschaftler",NA,NA,NA,"2622","Bibliothécaires, documentalistes et professions assimilées","Bibliotecari, documentalisti ed assimilati","Librarians and related information professionals"
"263","Sozialwissenschaftler, Geistliche und Seelsorger",NA,NA,"263",NA,"Spécialistes des sciences sociales et du clergé","Specialisti in scienze sociali e in discipline religiose","Social and religious professionals"
"2630","Sozialwissenschaftler, Geistliche und Seelsorger, onA",NA,NA,NA,"2630","Spécialistes des sciences sociales et du clergé, sip","Specialisti in scienze sociali e in discipline religiose, s.a.i.","Social and religious professionals, nos"
"2631","Volkswirtschaftler",NA,NA,NA,"2631","Économistes","Economisti","Economists"
"2632","Soziologen, Anthropologen und verwandte Wissenschaftler",NA,NA,NA,"2632","Sociologues, anthropologues et assimilés","Sociologi, antropologi ed assimilati","Sociologists, anthropologists and related professionals"
"2633","Philosophen, Historiker und Politologen",NA,NA,NA,"2633","Philosophes, historiens et spécialistes des sciences politiques","Filosofi, storici e specialisti in scienze politiche","Philosophers, historians and political scientists"
"2634","Psychologen",NA,NA,NA,"2634","Psychologues","Psicologi","Psychologists"
"2635","Sozialarbeiter",NA,NA,NA,"2635","Spécialistes du travail social","Specialisti nell'assistenza sociale e nell'orientamento","Social work and counselling professionals"
"2636","Geistliche Seelsorger",NA,NA,NA,"2636","Ministres des cultes","Specialisti in discipline religiose","Religious professionals"
"264","Autoren, Journalisten und Linguisten",NA,NA,"264",NA,"Auteurs, journalistes et linguistes","Specialisti in discipline linguistiche, letterarie e documentali","Authors, journalists and linguists"
"2640","Autoren, Journalisten und Linguisten, onA",NA,NA,NA,"2640","Auteurs, journalistes et linguistes, sip","Specialisti in discipline linguistiche, letterarie e documentali, s.a.i.","Authors, journalists and linguists, nos"
"2641","Autoren und verwandte schriftstellerische Berufe",NA,NA,NA,"2641","Auteurs et autres écrivains","Scrittori ed assimilati","Authors and related writers"
"2642","Journalisten",NA,NA,NA,"2642","Journalistes","Giornalisti","Journalists"
"2643","Übersetzer, Dolmetscher und andere Linguisten",NA,NA,NA,"2643","Traducteurs, interprètes et linguistes","Traduttori, interpreti e altri linguisti","Translators, interpreters and other linguists"
"265","Bildende und darstellende Künstler",NA,NA,"265",NA,"Artistes créateurs et exécutants","Specialisti in discipline artistico-espressive","Creative and performing artists"
"2650","Bildende und darstellende Künstler, onA",NA,NA,NA,"2650","Artistes créateurs et exécutants, sip","Specialisti in discipline artistico-espressive, s.a.i.","Creative and performing artists, nos"
"2651","Bildende Künstler",NA,NA,NA,"2651","Artistes plasticiens","Specialisti delle arti visive","Visual artists"
"2652","Musiker, Sänger und Komponisten",NA,NA,NA,"2652","Compositeurs, musiciens et chanteurs","Musicisti, cantanti e compositori","Musicians, singers and composers"
"2653","Tänzer und Choreografen",NA,NA,NA,"2653","Danseurs et chorégraphes","Ballerini e coreografi","Dancers and choreographers"
"2654","Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen",NA,NA,NA,"2654","Metteurs en scène de cinéma, de théâtre et d’autres spectacles","Registi, sceneggiatori, produttori ed assimilati","Film, stage and related directors and producers"
"2655","Schauspieler",NA,NA,NA,"2655","Acteurs","Attori","Actors"
"2656","Sprecher im Rundfunk, Fernsehen und sonstigen Medien",NA,NA,NA,"2656","Annonceurs-présentateurs de radio, de télévision et autres médias","Annunciatori della radio e della televisione e di altri media","Announcers on radio, television and other media"
"2659","Bildende und darstellende Künstler, anderweitig nicht genannt",NA,NA,NA,"2659","Artistes créateurs et exécutants non classés ailleurs","Specialisti in discipline artistico-espressive non classificati altrove","Creative and performing artists not elsewhere classified"
"3","Techniker und gleichrangige nichttechnische Berufe","3",NA,NA,NA,"Professions intermédiaires","Professioni tecniche intermedie","Technicians and associate professionals"
"30","Techniker und gleichrangige nichttechnische Berufe, onA",NA,"30",NA,NA,"Professions intermédiaires, sip","Professioni tecniche intermedie, s.a.i.","Technicians and associate professionals, nos"
"300","Techniker und gleichrangige nichttechnische Berufe, onA",NA,NA,"300",NA,"Professions intermédiaires, sip","Professioni tecniche intermedie, s.a.i.","Technicians and associate professionals, nos"
"3000","Techniker und gleichrangige nichttechnische Berufe, onA",NA,NA,NA,"3000","Professions intermédiaires, sip","Professioni tecniche intermedie, s.a.i.","Technicians and associate professionals, nos"
"31","Ingenieurtechnische und vergleichbare Fachkräfte",NA,"31",NA,NA,"Professions intermédiaires des sciences et techniques","Professioni tecniche nelle scienze e nell'ingegneria","Science and engineering associate professionals"
"310","Ingenieurtechnische und vergleichbare Fachkräfte, onA",NA,NA,"310",NA,"Professions intermédiaires des sciences et techniques, sip","Professioni tecniche nelle scienze e nell'ingegneria, s.a.i.","Science and engineering associate professionals, nos"
"3100","Ingenieurtechnische und vergleichbare Fachkräfte, onA",NA,NA,NA,"3100","Professions intermédiaires des sciences et techniques, sip","Professioni tecniche nelle scienze e nell'ingegneria, s.a.i.","Science and engineering associate professionals, nos"
"311","Material- und ingenieurtechnische Fachkräfte",NA,NA,"311",NA,"Techniciens des sciences physiques et techniques","Tecnici delle scienze fisiche e ingegneristiche","Physical and engineering science technicians"
"3110","Material- und ingenieurtechnische Fachkräfte, onA",NA,NA,NA,"3110","Techniciens des sciences physiques et techniques, sip","Tecnici delle scienze fisiche e ingegneristiche, s.a.i.","Physical and engineering science technicians, nos"
"3111","Chemo- und Physikotechniker",NA,NA,NA,"3111","Techniciens des sciences chimiques et physiques","Tecnici delle scienze chimiche e fisiche","Chemical and physical science technicians"
"3112","Bautechniker",NA,NA,NA,"3112","Techniciens du génie civil","Tecnici delle costruzioni civili","Civil engineering technicians"
"3113","Elektrotechniker",NA,NA,NA,"3113","Techniciens en électricité","Elettrotecnici","Electrical engineering technicians"
"3114","Techniker im Bereich Elektronik",NA,NA,NA,"3114","Techniciens en électronique","Tecnici elettronici","Electronics engineering technicians"
"3115","Maschinenbautechniker",NA,NA,NA,"3115","Techniciens en construction mécanique","Tecnici meccanici","Mechanical engineering technicians"
"3116","Chemiebetriebs- und Verfahrenstechniker",NA,NA,NA,"3116","Techniciens en chimie industrielle","Tecnici chimici","Chemical engineering technicians"
"3117","Bergbau- und Hüttentechniker",NA,NA,NA,"3117","Techniciens des mines, techniciens métallurgistes","Tecnici metallurgico-minerari","Mining and metallurgical technicians"
"3118","Technische Zeichner",NA,NA,NA,"3118","Dessinateurs industriels","Disegnatori industriali","Draughtspersons"
"3119","Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt",NA,NA,NA,"3119","Techniciens des sciences physiques et techniques non classés ailleurs","Altri tecnici delle scienze fisiche e ingegneristiche non classificati altrove","Physical and engineering science technicians not elsewhere classified"
"312","Produktionsleiter im Bergbau, bei der Herstellung von Waren und im Bau",NA,NA,"312",NA,"Superviseurs, mines, industries manufacturières et bâtiment","Supervisori delle attività estrattive, manifatturiere e di costruzione","Mining, manufacturing and construction supervisors"
"3120","Produktionsleiter im Bergbau, bei der Herstellung von Waren und im Bau, onA",NA,NA,NA,"3120","Superviseurs, mines, industries manufacturières et bâtiment, sip","Supervisori delle attività estrattive, manifatturiere e di costruzione, s.a.i.","Mining, manufacturing and construction supervisors, nos"
"3121","Produktionsleiter im Bergbau",NA,NA,NA,"3121","Superviseurs, mines","Supervisori minerari","Mining supervisors"
"3122","Produktionsleiter bei der Herstellung von Waren",NA,NA,NA,"3122","Superviseurs, industries manufacturières","Supervisori delle attività manifatturiere","Manufacturing supervisors"
"3123","Bauleiter",NA,NA,NA,"3123","Superviseurs, bâtiment","Supervisori edili","Construction supervisors"
"313","Techniker in der Prozesssteuerung",NA,NA,"313",NA,"Techniciens, contrôle de processus industriels","Tecnici del controllo del processo di produzione","Process control technicians"
"3130","Techniker in der Prozesssteuerung, onA",NA,NA,NA,"3130","Techniciens, contrôle de processus industriels, sip","Tecnici del controllo del processo di produzione, s.a.i.","Process control technicians, nos"
"3131","Steuerer von Energieerzeugungsanlagen",NA,NA,NA,"3131","Conducteurs d’installations de production d’énergie","Conduttori di impianti per la produzione di energia elettrica","Power production plant operators"
"3132","Steuerer von Verbrennungs- und Wasserbehandlungsanlagen",NA,NA,NA,"3132","Conducteurs d’incinérateurs et d’installations de traitement de l’eau","Conduttori di inceneritori e di impianti del trattamento delle acque","Incinerator and water treatment plant operators"
"3133","Steuerer von chemischen Verfahrensanlagen",NA,NA,NA,"3133","Conducteurs d’installations de traitement chimique","Tecnici del controllo di impianti per il trattamento chimico","Chemical processing plant controllers"
"3134","Steuerer von Erdöl- und Erdgasraffinationsanlagen",NA,NA,NA,"3134","Conducteurs d’installations de raffinage de pétrole et de gaz naturel","Conduttori di impianti per la raffinazione del petrolio e del gas naturale","Petroleum and natural gas refining plant operators"
"3135","Steuerer von Verfahren in der Metallerzeugung",NA,NA,NA,"3135","Contrôleurs des processus industriels, métallurgie","Tecnici per il controllo del processo di produzione del metallo","Metal production process controllers"
"3139","Techniker in der Prozesssteuerung, anderweitig nicht genannt",NA,NA,NA,"3139","Techniciens, contrôle de processus industriels non classés ailleurs","Tecnici del controllo del processo di produzione non classificati altrove","Process control technicians not elsewhere classified"
"314","Biotechniker und verwandte technische Berufe",NA,NA,"314",NA,"Techniciens et travailleurs assimilés des sciences de la vie","Tecnici nelle scienze della vita ed assimilati","Life science technicians and related associate professionals"
"3140","Biotechniker und verwandte technische Berufe, onA",NA,NA,NA,"3140","Techniciens et travailleurs assimilés des sciences de la vie, sip","Tecnici nelle scienze della vita ed assimilati, s.a.i.","Life science technicians and related associate professionals, nos"
"3141","Biotechniker (ohne medizinische Fachberufe)",NA,NA,NA,"3141","Techniciens des sciences de la vie (à l’exception de la médecine)","Tecnici nelle scienze della vita (ad eccezione delle scienze mediche)","Life science technicians (excluding medical)"
"3142","Agrartechniker",NA,NA,NA,"3142","Techniciens, agriculture et élevage","Tecnici agronomi","Agricultural technicians"
"3143","Forsttechniker",NA,NA,NA,"3143","Techniciens, sylviculture","Tecnici forestali","Forestry technicians"
"315","Schiffsführer, Flugzeugführer und verwandte Berufe",NA,NA,"315",NA,"Contrôleurs et techniciens des moyens de transport maritime et aérien","Controllori e tecnici del trasporto aereo e navale","Ship and aircraft controllers and technicians"
"3150","Schiffsführer, Flugzeugführer und verwandte Berufe, onA",NA,NA,NA,"3150","Contrôleurs et techniciens des moyens de transport maritime et aérien, sip","Controllori e tecnici del trasporto aereo e navale, s.a.i.","Ship and aircraft controllers and technicians, nos"
"3151","Technische Schiffsoffiziere",NA,NA,NA,"3151","Officiers mécaniciens de navires","Ufficiali di macchina navali","Ships' engineers"
"3152","Schiffsführer, nautische Schiffsoffiziere und Schiffslotsen",NA,NA,NA,"3152","Officiers de pont et pilotes","Ufficiali di bordo e piloti navali","Ships' deck officers and pilots"
"3153","Flugzeugführer und verwandte Berufe",NA,NA,NA,"3153","Pilotes d’avions et assimilés","Piloti di aeromobili ed assimilati","Aircraft pilots and related associate professionals"
"3154","Flugverkehrslotsen",NA,NA,NA,"3154","Contrôleurs de la circulation aérienne","Controllori del traffico aereo","Air traffic controllers"
"3155","Flugsicherungstechniker",NA,NA,NA,"3155","Techniciens de la sécurité aérienne","Tecnici elettronici addetti alla sicurezza del traffico aereo","Air traffic safety electronics technicians"
"32","Assistenzberufe im Gesundheitswesen",NA,"32",NA,NA,"Professions intermédiaires de la santé","Professioni intermedie nelle scienze della salute","Health associate professionals"
"320","Assistenzberufe im Gesundheitswesen, onA",NA,NA,"320",NA,"Professions intermédiaires de la santé, sip","Professioni intermedie nelle scienze della salute, s.a.i.","Health associate professionals, nos"
"3200","Assistenzberufe im Gesundheitswesen, onA",NA,NA,NA,"3200","Professions intermédiaires de la santé, sip","Professioni intermedie nelle scienze della salute, s.a.i.","Health associate professionals, nos"
"321","Medizinische und pharmazeutische Fachberufe",NA,NA,"321",NA,"Techniciens de la médecine et de la pharmacie","Tecnici delle scienze mediche e farmaceutiche","Medical and pharmaceutical technicians"
"3210","Medizinische und pharmazeutische Fachberufe, onA",NA,NA,NA,"3210","Techniciens de la médecine et de la pharmacie, sip","Tecnici delle scienze mediche e farmaceutiche, s.a.i.","Medical and pharmaceutical technicians, nos"
"3211","Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte",NA,NA,NA,"3211","Techniciens d’appareils électromédicaux","Tecnici radiologi e di apparecchiature mediche","Medical imaging and therapeutic equipment technicians"
"3212","Medizintechniker im Bereich Labor und Pathologie",NA,NA,NA,"3212","Techniciens de laboratoire médical","Tecnici di laboratorio medico e patologico","Medical and pathology laboratory technicians"
"3213","Pharmazeutisch-technische Assistenten",NA,NA,NA,"3213","Techniciens et assistants pharmaciens et préparateurs en pharmacie","Tecnici e assistenti farmaceutici","Pharmaceutical technicians and assistants"
"3214","Medizinische und zahnmedizinische Prothetiktechniker",NA,NA,NA,"3214","Techniciens de prothèses médicales et dentaires","Tecnici protesici e odontotecnici","Medical and dental prosthetic technicians"
"322","Nicht akademische Krankenpflege- und Geburtshilfefachkräfte",NA,NA,"322",NA,"Personnel infirmier et sages femmes (niveau intermédiaire)","Infermieri e ostetrici (livello intermedio)","Nursing and midwifery associate professionals"
"3220","Nicht akademische Krankenpflege- und Geburtshilfefachkräfte, onA",NA,NA,NA,"3220","Personnel infirmier et sages femmes (niveau intermédiaire), sip","Infermieri e ostetrici (livello intermedio), s.a.i.","Nursing and midwifery associate professionals, nos"
"3221","Nicht akademische Krankenpflegefachkräfte",NA,NA,NA,"3221","Personnel infirmier (niveau intermédiaire)","Infermieri (livello intermedio)","Nursing associate professionals"
"3222","Nicht akademische Geburtshilfefachkräfte",NA,NA,NA,"3222","Sages-femmes (niveau intermédiaire)","Ostetrici (livello intermedio)","Midwifery associate professionals"
"323","Nicht akademische Fachkräfte in traditioneller und komplementärer Medizin",NA,NA,"323",NA,"Praticiens des médecines traditionnelles et des médecines complémentaires","Assistenti della medicina tradizionale e complementare","Traditional and complementary medicine associate professionals"
"3230","Nicht akademische Fachkräfte in traditioneller und komplementärer Medizin",NA,NA,NA,"3230","Praticiens des médecines traditionnelles et des médecines complémentaires","Assistenti della medicina tradizionale e complementare","Traditional and complementary medicine associate professionals"
"324","Veterinärmedizinische Fachkräfte und Assistenten",NA,NA,"324",NA,"Techniciens et assistants vétérinaires","Tecnici e assistenti veterinari","Veterinary technicians and assistants"
"3240","Veterinärmedizinische Fachkräfte und Assistenten",NA,NA,NA,"3240","Techniciens et assistants vétérinaires","Tecnici e assistenti veterinari","Veterinary technicians and assistants"
"325","Sonstige Assistenzberufe im Gesundheitswesen",NA,NA,"325",NA,"Autres professions intermédiaires de la santé","Altre professioni intermedie nelle scienze della salute","Other health associate professionals"
"3250","Sonstige Assistenzberufe im Gesundheitswesen, onA",NA,NA,NA,"3250","Autres professions intermédiaires de la santé, sip","Altre professioni intermedie nelle scienze della salute, s.a.i.","Other health associate professionals, nos"
"3251","Zahnmedizinische Assistenten und Dentalhygieniker",NA,NA,NA,"3251","Assistants et thérapeutes en médecine dentaire","Assistenti odontoiatri e igienisti dentali","Dental assistants and therapists"
"3252","Fachkräfte im Bereich medizinische Dokumentation und Information",NA,NA,NA,"3252","Techniciens de dossiers médicaux","Addetti alle cartelle cliniche e alla documentazione sanitaria","Medical records and health information technicians"
"3253","Fachkräfte in der öffentlichen Gesundheitsfürsorge",NA,NA,NA,"3253","Agents de santé communautaire","Operatori sanitari della comunità","Community health workers"
"3254","Augenoptiker",NA,NA,NA,"3254","Opticiens","Ottici","Dispensing opticians"
"3255","Physiotherapeutische Techniker und Assistenten",NA,NA,NA,"3255","Techniciens et assistants en physiothérapie","Tecnici e assistenti della riabilitazione","Physiotherapy technicians and assistants"
"3256","Medizinische Assistenten",NA,NA,NA,"3256","Assistants médicaux","Assistenti medici","Medical assistants"
"3257","Nicht akademische Kontrolleure und Beauftragte in den Bereichen Umwelt- und Arbeitsmedizin sowie verwandte Berufe",NA,NA,NA,"3257","Inspecteurs, salubrité de l’environnement et de la santé au travail, et assimilés","Ispettori e tecnici della medicina ambientale e del lavoro","Environmental and occupational health inspectors and associates"
"3258","Rettungsdienstpersonal",NA,NA,NA,"3258","Ambulanciers","Infermieri di ambulanza","Ambulance workers"
"3259","Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt",NA,NA,NA,"3259","Professions intermédiaires de la santé non classées ailleurs","Tecnici delle scienze della salute non classificati altrove","Health associate professionals not elsewhere classified"
